12,456AE,SG/ASS/AS/DS,E,18.05.2023,12:31:00,12:43:00,ABR/JS,5,3,5,6,6,7,7,5,6,5,5,4,7,4,6,7,6,6,7,5,5,7,7,7,7,7,7,7,7,7,7,5,6,6,5,6,7,7,7,7,"""Es"" sense accent indice retrocuó (es frase 63: èl por él mossegat"" aquí ""és"" va far accent). Hi ha verbs que van seguts di ""e"" (e.g. 90 ""l'explosion sorpén el veí: a + el -> al"
13,892NU,SG/AS,E,18.05.2023,14:11:00,14:28:00,ASS/AS,6,7,5,6,5,7,7,2,6,6,5,7,7,7,7,7,7,7,7,5,6,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,NA
14,012EI,AS/SG,E,18.05.2023,14:11:00,14:25:00,ASS/AS,5,5,5,1,5,7,7,3,6,3,5,5,5,5,5,5,3,3,4,1,3,6,2,4,5,6,5,5,7,6,5,4,7,1,7,5,7,6,6,7,NA
15,013NO,AS/SG,E,18.05.2023,14:12:00,14:34:00,ASS,7,5,6,7,7,6,7,X,7,7,6,5,7,4,7,5,X,6,7,6,7,6,7,6,5,6,7,7,7,6,7,5,6,5,6,7,7,7,7,7,NA
16,354AA,ABR/JS,E,18.05.2023,14:35:00,14:49:00,ABR/JS,5,7,7,5,4,7,7,1,7,6,7,5,7,7,6,7,7,7,7,1,5,4,7,1,6,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,NA
17,NS232,ABR/JS,E,18.05.2023,14:36:00,14:49:00,AS,6,1,2,1,1,6,3,1,5,1,1,1,5,1,3,4,5,6,5,5,1,5,6,2,5,7,1,7,7,7,6,6,6,5,5,5,4,5,5,5,NA
18,244AG,ABR/JS,E,18.05.2023,14:34:00,14:44:00,SG,5,7,2,7,3,7,7,2,7,2,3,1,7,7,5,7,7,6,7,1,1,7,7,1,5,7,7,6,7,7,7,1,7,1,7,7,7,6,7,5,NA
19,003PR,JS/ABR,S,19.05.2023,10:26:00,10:42:00,ASS ,4,5,7,1,7,7,7,1,7,3,7,7,7,7,7,7,7,7,7,3,7,7,3,6,4,7,1,3,7,7,7,4,7,1,7,7,3,7,7,7,NA
20,083AA,ABR/JS/SG/DS,S,19.05.2023,10:33:00,10:41:00,ABR/JS,6,5,4,3,1,7,7,3,4,3,3,5,7,3,6,6,5,3,7,2,6,5,6,5,5,7,7,7,5,6,6,7,5,3,4,5,7,7,6,4,NA
21,015AE,ABR/AS/TE,S,19.05.2023,10:24:00,10:40:00,ABR/JS,4,6,2,1,7,7,7,2,7,7,6,6,7,7,7,7,5,3,7,2,7,7,7,5,7,7,7,7,5,7,7,7,7,5,1,7,7,7,7,7,NA
22,123TOM,JS/ABR/SG/DS,S,19.05.2023,10:23:00,10:39:00,ABR/JS,7,5,3,5,3,7,7,1,6,3,6,4,6,6,3,6,5,2,3,5,1,3,5,3,5,7,6,7,6,6,5,5,5,3,6,5,6,5,7,6,NA
23,123LO,SG/AS/TE/DS,E,19.05.2023,11:12:00,11:33:00,AS,5,5,7,6,6,7,7,5,7,7,7,3,7,5,7,7,6,4,7,3,7,5,7,1,7,7,7,7,7,7,7,4,7,6,5,7,7,7,7,5,"Molt divertit. Alguns filòlegs s'han mort quan s'ha escrit això, però no passa res. :)"
24,245IE,TE/DS/SG/AS/JS/ABR,S,19.05.2023,10:24:00,10:38:00,ABR/JS,7,3,3,7,2,7,5,2,6,3,1,6,7,7,6,7,7,7,7,3,7,7,6,4,6,7,7,7,7,3,7,7,6,1,1,6,7,6,6,7,NA
